['new', 52375]
['poletika', 4731]
["'Ekonomi", 3810]
['`ametat', 3271]
['gnbar', 2333]
['^serawit', 2286]
['rdata', 2265]
['prEzdant', 2243]
["'andnet", 1978]
['dolar', 1931]
['prEzidant', 1900]
["'ayer", 1809]
['xa`biya', 1745]
['dm^S', 1674]
['hasab', 1663]
['Naw', 1465]
['sr', 1459]
['riport', 1404]
['bEte', 1375]
['minstr', 1354]
["'ih'adEg", 1304]
['Hbret', 1272]
['ne^Sanet', 1265]
['t`zaz', 1258]
['wgiya', 1256]
['neN', 1204]
['mahber', 1164]
['Hge', 1115]
['teqebaynet', 1111]
['liqemenber', 1107]
['^Sere', 1106]
['qale', 1103]
['kef', 1095]
['yuniversti', 1075]
['gubNt', 1037]
['des', 1026]
['`dl', 1002]
['mengstat', 989]
['mestedadr', 977]
['wzgb', 962]
['miyazya', 960]
['rEdiyo', 957]
["'afewerqi", 954]
['sost', 954]
['hg', 949]
['flagWet', 934]
['nat', 934]
['^SeHafi', 921]
['kfle', 920]
['hasab', 918]
['zon', 899]
["'an^Sar", 882]
["'iraq", 882]
['zEgWec', 882]
["'idEpa", 878]
['hbret', 875]
["'aynet", 866]
["'aqTaCa", 847]
['bord', 842]
['^samnt', 836]
['lig', 805]
['nen', 802]
['qdme', 780]
["'amet", 778]
['te^S`no', 749]
['mabrariya', 743]
["'iH'adEg", 729]
['gazETeNa', 721]
['meHamed', 715]
['gl^S', 710]
["'amakaynet", 704]
['mister', 695]
["'oneg", 691]
['kubanya', 683]
['megenaNa', 670]
['drxa', 664]
['jbuti', 652]
["'amakaNnet", 647]
['mel`kt', 635]
['r`se', 624]
['serawit', 623]
["'abrha", 619]
['hospital', 618]
['mnalbat', 611]
['glS', 609]
['prEzident', 608]
['gele^Sa', 601]
["'al", 594]
['Talqa', 593]
["'adrgWe", 591]
['r`s', 591]
['gWel', 586]
["'atlEt", 580]
['shtet', 576]
["'Es", 572]
["'internaxnal", 566]
['`dget', 565]
["'inter", 561]
["'Em", 558]
['hayl', 556]
["'ansto", 551]
['rmja', 547]
['mnilk', 546]
['riporter', 545]
["'ne", 544]
['tel`ko', 538]
["'a^smera", 537]
['makseNo', 518]
['^sfra', 518]
['dehnnet', 516]
['negaso', 509]
['ton', 504]
['^SeTta', 502]
['hdar', 495]
["'ahmed", 486]
['ha^sab', 486]
['projekt', 482]
['seb`awi', 476]
['l`uk', 475]
['hge', 472]
["'abune", 465]
['`qa', 464]
['gizEyat', 451]
['`da', 447]
['jakarta', 442]
["'Ef", 439]
["'industri", 436]
["'aydid", 434]
['tedergWe', 432]
['m^sreta', 430]
['somaliya', 425]
['kofi', 422]
['w^ha', 419]
['qulf', 411]
['yunaytd', 407]
["'idE'apa", 407]
['hagerat', 406]
['mnzari', 406]
['Shuf', 405]
['mahbereseb', 402]
["wa'ima", 399]
["'anmi", 398]
["'ali", 398]
['bEyrut', 396]
['`rdata', 396]
['bibisi', 396]
['hbreteseb', 392]
['zq', 392]
['wuyyt', 387]
['feren^say', 377]
['meswa`tnet', 374]
['wusT', 374]
['hywet', 371]
['wediya', 369]
['meSHEt', 364]
['hagerat', 362]
["'inegama", 362]
["mika'El", 358]
["'El", 357]
['gon', 357]
['kolonEl', 350]
['komixner', 349]
['tenesto', 347]
['me`aHd', 346]
['nayrobi', 346]
["'olompik", 342]
['xnfet', 339]
['mosko', 335]
['`ali', 332]
['lu`alawinet', 331]
['`am', 331]
['tegbarat', 329]
['wTEtama', 329]
['neh', 329]
['nec', 329]
['stratEji', 327]
["ye'a", 327]
['Nana', 326]
['jemer', 323]
['wuzgb', 322]
['yuniversiti', 318]
['talalaq', 316]
['dimokrasi', 313]
['sivil', 313]
['Hbreteseb', 311]
['fixer', 306]
["'astewa^S'o", 305]
['dayrEkter', 302]
['tah^sa^s', 302]
['samntat', 301]
["'aseb", 301]
['kolEj', 301]
['yhe', 300]
['qnjt', 294]
['Tewat', 293]
["'anqe^S", 290]
['msraq', 289]
['rEdyo', 289]
["'antoni", 286]
['gebre', 284]
['fqad', 284]
['^hayle', 283]
['darca', 283]
['HgeweT', 282]
['lEk', 281]
['Hagerat', 280]
['mEdaliya', 280]
['Hnd', 278]
['yem', 278]
['yosEf', 274]
['bEjing', 273]
["'anja", 273]
['warka', 272]
['gidada', 271]
['mahberat', 269]
['bEnEdikt', 267]
['med^hanit', 266]
['radiyo', 262]
["ye'i", 262]
['kstet', 261]
['yoxka', 260]
['knfe', 253]
["'aHzab", 252]
['neged', 252]
['bomb', 251]
['ma^hbereseb', 250]
['wedEt', 250]
['nege^stat', 247]
['kffl', 245]
["'ab", 244]
['regeTa', 243]
["'Emala", 243]
['jorj', 243]
['PaPasat', 242]
["mens'E", 241]
['qes', 241]
['pEking', 240]
['rehab', 239]
['tewelde', 236]
["dan'El", 235]
['fiyamEta', 234]
['mulugEta', 231]
['hisab', 229]
['h^Sanat', 228]
["'afe", 228]
['semayat', 227]
['tekul', 226]
['disi', 226]
['zgjunet', 224]
['qeTteNa', 224]
['magst', 223]
['bq', 223]
['wuCi', 223]
['ge^S', 221]
['seble', 220]
['temed', 220]
['togo', 220]
['ripeblik', 219]
['brhane', 218]
['zewetr', 218]
['rom', 218]
['diplomat', 217]
['bulgariya', 216]
['qalat', 216]
['liqe', 216]
['tssr', 214]
['ham^sa', 211]
['gbre', 211]
["'of", 211]
['mndr', 210]
["'oromo", 210]
["me'i'ad", 208]
['Hager', 208]
["'arebiya", 205]
['wekef', 205]
['so^steNa', 204]
['`abalnet', 203]
['`j', 203]
["'investment", 202]
["be'a", 202]
['maHmud', 200]
['hEktar', 198]
['se`atat', 197]
['merha', 197]
['naqfa', 196]
['nek', 196]
['ma^hberat', 195]
['Sere', 195]
["'abdul", 194]
['gebnet', 194]
['deqe', 194]
['transport', 193]
['symet', 193]
["'Ejensi", 193]
['liqane', 193]
['libiya', 193]
['demoz', 193]
['koriya', 192]
['bedo', 191]
['kWelonEl', 190]
['welde', 188]
['rusiya', 186]
['xEh', 186]
["gebr'El", 185]
['mEtrik', 185]
["'ityo", 185]
['tEknoloji', 184]
['yeq', 183]
['te^sfa', 182]
['meCawet', 181]
['dagmeNa', 181]
['yete', 181]
["'oromiya", 179]
['^selasa', 178]
['sine^Sa^Ser', 175]
['mel`kteNa', 174]
['guduy', 174]
["'Ec", 173]
['yedo', 173]
['maHber', 172]
['mig', 172]
["'ohdEd", 169]
['hamsa', 169]
['sne', 169]
['teS`no', 167]
['kuntal', 167]
['gbS', 167]
["'arbitr", 166]
['hweHat', 166]
['HweHat', 165]
['mens`E', 165]
["'imema", 165]
['merera', 164]
['bonb', 164]
['kuwEt', 164]
['SuHuf', 163]
['fifa', 163]
['ricard', 162]
['tewahdo', 162]
['pasport', 161]
['sosteNa', 160]
['whdet', 160]
['xggr', 159]
['Hn^Sa', 159]
['tokiyo', 159]
["`alem'aqef", 158]
['viza', 158]
["mel'kt", 157]
['mnistr', 157]
['xumamnt', 157]
['mehamed', 157]
['midiya', 157]
["'abdela", 155]
['mkrbEt', 154]
['lEnCo', 154]
["'oditer", 153]
['tadya', 153]
["'a'ad", 153]
['nEto', 153]
['pol', 153]
['fqadeNa', 152]
['jon', 152]
["'abyate", 151]
['fe^Smo', 151]
["'odit", 149]
['kuma', 149]
["'adrgWetal", 148]
['`a^srat', 148]
['ngu^se', 148]
['lef', 148]
['hgeweT', 147]
['frhat', 147]
['meHal', 147]
['^Shuf', 147]
['temesrto', 146]
['Hawult', 146]
['^haylat', 146]
['mdb', 146]
['yoHa', 146]
["'amalkt", 145]
["teS'no", 145]
['krstiyanat', 144]
['qenenisa', 144]
['geleSa', 144]
['kito', 144]
['mesfert', 143]
["'asfelaginet", 142]
['^samntat', 142]
["'arkebe", 142]
['grup', 142]
['fTCa', 142]
['nazrEt', 141]
['wsbsb', 140]
['tz', 140]
['bErloskoni', 139]
['ronaldo', 139]
['geZw', 139]
['teTeyaqinet', 138]
["'axafereN", 138]
['rodmap', 137]
['menesat', 136]
['sendeq', 136]
['wdmet', 135]
['Cerqa', 134]
['foto', 134]
['^sqlat', 133]
["'arafat", 133]
['hanoy', 133]
['meHakel', 132]
['zemene', 132]
['likeset', 131]
["'awde", 131]
['xiH', 131]
['mrtamanet', 130]
['^sm', 130]
['bEla', 130]
["'En", 130]
['tekle', 129]
['taweje', 129]
['wEb', 129]
['`abiy', 128]
['niwyork', 127]
['`wqet', 127]
['^sefi', 127]
['bef', 127]
["'amnesti", 126]
['`umer', 126]
['Cew', 126]
['ruwanda', 125]
["se'at", 125]
['debre', 125]
['josEf', 125]
['diplomatik', 124]
["'artist", 124]
['meserete', 124]
['milixiya', 124]
['toni', 124]
["samu'El", 123]
['fend', 123]
['minstEr', 122]
['tokyo', 122]
["'ahaz", 122]
["'ader", 122]
['qWTa', 122]
['ratsinger', 121]
["'astewa^S`o", 121]
['mEjer', 121]
['zewer', 121]
['robert', 120]
['brgEd', 120]
['`reft', 120]
['merHa', 120]
['leTe', 120]
['keTe', 120]
["'albexr", 119]
['royter', 119]
['primyer', 118]
['nege^st', 118]
['niqosiya', 118]
['bin', 118]
['^sr`ate', 117]
['sewest', 117]
['carter', 117]
['Hidet', 117]
['merH', 117]
["be'i", 117]
["'agbabnet", 116]
['^s`lay', 116]
['seql', 116]
['kixo', 116]
['yeTe', 116]
["'alasfelagi", 115]
['desaleN', 115]
["'ityoPyawinet", 114]
['madrid', 114]
['tEknik', 114]
['tr`it', 114]
['delHi', 114]
['niwi', 114]
['halafinet', 113]
['post', 113]
['xreder', 112]
['wbet', 112]
['gab', 112]
['dimokratik', 111]
['patryark', 111]
['Tenker', 111]
['kbdet', 110]
['halafi', 110]
['`rq', 110]
['beTe', 110]
['hayl', 109]
['bem', 109]
['jEt', 109]
['zalanbesa', 108]
["qa'ida", 108]
['tulema', 108]
['mastemar', 107]
['hagere', 107]
["ra'y", 107]
["'obko", 107]
['dEvid', 107]
['gol', 107]
['meSaHft', 106]
['gWerebEt', 106]
['kbre', 106]
['fegeg', 106]
['Hdar', 105]
['wsTe', 105]
['ytawe^sal', 104]
['mamenCa', 104]
['wb', 104]
['moniter', 103]
['^srCt', 103]
['teCewac', 103]
['niyala', 103]
['ki^sara', 103]
['wedi', 103]
["'iH'apa", 102]
['hn^Sa', 102]
['^self', 102]
['weld', 102]
['^sne^sr`at', 101]
['mkkr', 101]
["'abadula", 101]
